time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
7280,-5.36,1.1,8.18,-0.02,0.13,-0.09
7281,-5.35,1.05,8.16,-0.05,0.1,-0.28
7282,-5.34,1.09,8.17,-0.02,0.01,-0.09
7283,-5.32,1.13,8.13,-0.05,0.04,0.01
7284,-5.34,1.11,8.14,-0.02,-0.12,-0.09
7286,-5.41,1.1,8.14,0.11,-0.09,-0.15
7287,-5.34,1.05,8.14,0.08,-0.02,0.01
7288,-5.3,1.08,8.14,-0.08,-0.09,0.01
7289,-5.4,1.07,8.15,-0.02,0.04,0.01
7290,-5.41,1.08,8.12,0.01,0.13,0.1
7291,-5.37,1.13,8.18,0.08,0.1,-0.06
7292,-5.36,1.13,8.19,0.01,0.01,0.01
7294,-5.35,1.07,8.15,0.14,-0.15,0.04
7295,-5.38,1.07,8.21,-0.02,-0.15,0.13
7296,-5.4,1.08,8.26,-0.11,0.04,-0.06
7297,-5.43,1.11,8.28,-0.2,0.1,-0.02
7298,-5.41,1.06,8.26,-0.17,0.04,0.1
7299,-5.41,1.04,8.2,0.01,-0.06,0.1
7300,-5.35,1.08,8.13,0.2,-0.09,0.07
7302,-5.3,1.05,8.19,0.01,0.04,0.01
7303,-5.35,1.04,8.18,0.05,0.1,-0.02
7304,-5.38,1.05,8.2,0.08,0.04,-0.09
7305,-5.29,1.11,8.18,0.08,0.07,-0.02
7306,-5.32,1.09,8.12,0.17,0.1,-0.06
7307,-5.36,1.04,8.07,-0.02,0.16,-0.09
7308,-5.38,1.14,8.14,-0.14,0.13,-0.09
7310,-5.39,1.13,8.15,-0.2,0.13,0.01
7311,-5.4,1.15,8.2,-0.24,0.35,0.07
7312,-5.39,1.12,8.21,-0.33,0.23,-0.12
7313,-5.3,1.12,8.22,-0.3,0.13,-0.06
7314,-5.26,1.1,8.16,0.01,0.07,-0.06
7315,-5.34,1.07,8.17,0.08,0.23,0.04
7316,-5.33,1.1,8.19,-0.17,0.29,0.07
7317,-5.35,1.09,8.21,-0.05,0.38,-0.12
7319,-5.37,1.03,8.22,-0.24,0.19,-0.02
7320,-5.35,1.07,8.09,-0.11,0.1,0.01
7321,-5.4,1.09,8.18,-0.14,0.1,0.07
7322,-5.41,1.06,8.18,0.05,0.32,0.07
7323,-5.36,1.12,8.09,0.01,0.19,-0.09
7324,-5.39,1.16,8.2,-0.11,0.07,0.04
7325,-5.44,1.12,8.16,-0.2,0.26,-0.06
7327,-5.41,1.1,8.15,-0.11,0.38,-0.09
7328,-5.36,1.1,8.17,-0.11,0.1,-0.15
7329,-5.36,1.1,8.2,-0.14,0.1,-0.21
7330,-5.41,1.05,8.17,-0.36,0.16,-0.12
7331,-5.38,1.08,8.22,-0.17,0.29,-0.06
7332,-5.41,1.1,8.17,0.08,0.13,0.01
7333,-5.38,1.04,8.08,0.26,0.23,0.01
7335,-5.39,1.07,8.27,0.05,0.16,-0.06
7336,-5.34,1.12,8.21,0.05,0.13,0.07
7337,-5.36,1.08,8.15,-0.14,0.07,0.19
7338,-5.35,1.12,8.12,-0.05,0.13,0.1
7339,-5.38,1.09,8.16,-0.05,0.19,0.07
7340,-5.37,1.07,8.17,-0.17,0.13,0.13
7341,-5.37,1.12,8.17,-0.14,0.13,0.01
7342,-5.35,1.09,8.12,-0.11,0.13,-0.06
7344,-5.36,1.09,7.99,-0.08,0.13,0.01
7345,-5.41,1.09,8.12,-0.14,0.16,-0.02
7346,-5.39,1.03,8.22,-0.05,0.19,0.13
7347,-5.4,1.09,8.18,-0.11,0.19,0.01
7348,-5.37,1.09,8.22,-0.2,0.35,-0.12
7349,-5.39,1.1,8.25,-0.33,0.38,-0.02
7350,-5.42,1.12,8.17,-0.27,0.29,0.13
7352,-5.38,1.08,8.14,-0.14,0.1,0.07
7353,-5.39,1.06,8.15,-0.08,0.04,0.07
7354,-5.39,1.09,8.15,-0.05,0.1,0.07
7355,-5.36,1.07,8.12,-0.24,-0.02,0.13
7356,-5.32,1.1,8.04,-0.27,-0.02,0.07
7357,-5.3,1.1,8.21,-0.08,0.23,0.01
7358,-5.32,1.06,8.12,-0.11,0.23,-0.02
7360,-5.36,1.1,8.13,0.01,0.13,0.01
7361,-5.33,1.08,8.21,-0.08,-0.02,0.13
7362,-5.39,1.03,8.22,-0.2,0.13,0.13
7363,-5.38,1.07,8.18,0.05,0.1,0.07
7364,-5.39,1.05,8.23,0.17,0.01,0.01
7365,-5.41,1.09,8.2,0.11,0.16,-0.02
7366,-5.37,1.13,8.16,-0.08,0.19,0.19
7368,-5.36,1.16,8.17,-0.17,0.23,0.19
7369,-5.37,1.11,8.19,-0.05,0.35,-0.15
7370,-5.34,1.13,8.16,-0.42,0.57,-0.4
7371,-5.41,1.21,8.13,-1.58,0.63,-0.12
7372,-5.39,1.12,8.06,-2.08,0.76,-0.02
7373,-5.43,1.07,8.08,-1.3,0.51,-0.15
7374,-5.37,0.99,8.2,-0.11,0.07,-0.21
7376,-5.46,1.03,8.16,0.05,0.07,0.04
7377,-5.5,1.07,8.16,-0.3,0.29,0.29
7378,-5.45,1.11,8.33,0.17,0.16,0.16
7379,-5.35,1.04,8.26,0.95,-0.18,-0.12
7380,-5.33,1.07,8.19,0.7,-0.31,-0.12
7381,-5.39,1.09,8.17,0.48,-0.09,0.1
7382,-5.37,1.07,8.17,0.61,0.07,-0.02
7384,-5.38,1.09,8.17,0.48,-0.09,0.01
7385,-5.36,1.14,8.14,0.01,-0.06,0.04
7386,-5.25,1.19,8.12,-0.27,0.16,-0.02
7387,-5.32,1.07,8.06,-0.14,0.07,0.01
7388,-5.35,1.13,8.05,-0.2,0.01,-0.02
7389,-5.38,1.1,8.17,-0.27,-0.02,-0.12
7390,-5.4,1.1,8.16,-0.02,0.04,-0.06
7392,-5.37,1.1,8.24,0.08,-0.06,-0.09
7393,-5.31,1.15,8.29,0.14,-0.09,-0.02
7394,-5.36,1.04,8.26,0.11,0.1,0.1
7395,-5.4,1.06,8.18,0.2,0.13,-0.02
7396,-5.36,1.07,8.13,0.3,-0.06,-0.12
7397,-5.35,1.06,8.14,0.2,-0.21,-0.06
7398,-5.38,1.08,8.18,0.14,-0.09,0.19
7400,-5.35,1.13,8.21,0.17,0.13,0.26
7401,-5.38,1.07,8.17,0.17,-0.02,-0.06
7402,-5.33,1.08,8.16,0.08,0.01,0.04
7403,-5.33,1.08,8.1,-0.17,0.29,0.07
7404,-5.32,1.08,8.06,0.05,0.07,0.13
7405,-5.38,1.07,8.14,0.05,-0.02,-0.02
7406,-5.35,1.11,8.12,-0.08,-0.09,-0.06
7407,-5.35,1.1,8.12,-0.2,-0.02,-0.09
7409,-5.34,1.06,8.15,-0.02,0.16,0.04
7410,-5.32,1.06,8.16,-0.08,0.13,0.01
7411,-5.36,1.03,8.11,-0.11,0.04,0.07
7412,-5.38,1.08,8.22,0.08,-0.12,0.04
7413,-5.38,1.11,8.23,0.23,0.01,0.04
7414,-5.33,1.05,8.13,0.26,0.04,0.19
7415,-5.3,1.11,8.09,0.26,-0.09,0.07
7417,-5.35,1.13,8.08,0.08,0.07,-0.15
7418,-5.41,1.14,8.1,-0.08,0.29,-0.18
7419,-5.4,1.08,8.13,-0.14,0.04,-0.09
7420,-5.41,1.15,8.08,-0.11,-0.21,0.04
7421,-5.35,1.08,8.16,-0.05,0.1,0.07
7422,-5.41,1.08,8.17,-0.08,0.26,0.07
7423,-5.41,1.07,8.17,-0.24,0.07,-0.09
7425,-5.38,1.05,8.17,-0.17,0.04,-0.02
7426,-5.41,1.02,8.19,-0.08,-0.06,-0.02
7427,-5.42,1.05,8.17,0.11,0.07,-0.09
7428,-5.4,1.03,8.12,0.14,-0.09,-0.02
7429,-5.37,1.05,8.07,0.11,-0.06,0.01
7430,-5.37,1.06,8.08,0.05,0.04,-0.02
7431,-5.41,1.11,7.97,-0.11,0.1,-0.09
7433,-5.37,1.1,8.1,-0.11,0.04,0.04
7434,-5.38,1.13,8.3,-0.08,0.04,0.07
7435,-5.34,1.09,8.1,0.05,0.07,-0.06
7436,-5.4,1.08,8.12,0.11,0.1,-0.06
7437,-5.35,1.11,8.16,0.01,0.16,-0.06
7438,-5.38,1.11,8.12,0.01,0.16,-0.18
7439,-5.34,1.08,8.05,0.05,0.38,-0.28
7441,-5.44,1.03,8.08,0.05,0.45,-0.15
7442,-5.41,1.08,8.12,-0.17,0.23,-0.12
7443,-5.41,1.08,8.22,-0.27,0.13,-0.06
7444,-5.41,1.1,8.23,-0.11,-0.02,-0.09
7445,-5.37,1.05,8.25,-0.05,-0.02,0.01
7446,-5.34,1.08,8.11,0.17,0.01,0.13
7447,-5.37,1.07,8.16,0.23,0.13,0.04
7449,-5.4,1.05,8.25,0.01,0.19,-0.02
7450,-5.35,1.11,8.16,-0.11,0.07,-0.09
7451,-5.33,1.08,8.16,-0.2,0.01,0.13
7452,-5.33,1.06,8.15,-0.08,0.07,-0.09
7453,-5.42,1.09,8.21,-0.08,0.16,0.1
7454,-5.42,1.09,8.16,-0.05,0.13,0.1
7455,-5.33,1.09,8.12,-0.14,-0.02,-0.06
7457,-5.32,1.07,8.09,-0.05,0.07,0.01
7458,-5.41,1.08,8.13,-0.02,0.07,-0.06
7459,-5.33,1.1,8.17,0.14,0.1,-0.02
7460,-5.37,1.11,8.17,0.05,0.16,0.04
7461,-5.38,1.09,8.08,-0.14,0.16,-0.02
7462,-5.36,1.06,8.11,-0.08,0.13,-0.12
7463,-5.36,1.15,8.22,-0.11,0.07,0.01
7465,-5.4,1.13,8.17,-0.14,0.13,0.19
7466,-5.38,1.08,8.02,-0.3,0.07,0.07
7467,-5.41,1.04,8.08,-0.2,0.16,-0.06
7468,-5.42,1.07,8.07,0.01,0.19,-0.09
7469,-5.37,1.1,8.12,-0.14,0.29,-0.06
7470,-5.36,1.08,8.05,-0.24,0.13,-0.02
7471,-5.38,1.04,8.07,-0.2,0.07,-0.06
7473,-5.36,1.09,8.13,-0.2,0.23,0.01
7474,-5.4,1.12,8.15,-0.14,0.1,-0.15
7475,-5.36,1.09,8.18,-0.24,-0.06,-0.12
7476,-5.36,1.06,8.18,-0.24,0.07,-0.06
7477,-5.37,1.06,8.1,-0.14,0.19,-0.02
7478,-5.33,1.05,8.18,-0.27,0.13,0.01
7479,-5.37,1.07,8.2,-0.33,0.01,0.04
7481,-5.38,1.1,8.11,-0.27,-0.09,-0.09
7482,-5.38,1.05,8.19,-0.11,0.13,-0.09
7483,-5.37,1.08,8.14,0.14,0.1,-0.12
7484,-5.35,1.06,8.18,0.11,0.1,-0.15
7485,-5.39,1.0,8.15,-0.3,0.19,-0.12
7486,-5.35,1.03,8.17,-0.2,0.01,-0.06
7487,-5.37,1.08,8.22,-0.11,-0.09,-0.06
7489,-5.39,1.08,8.12,-0.17,-0.06,0.01
7490,-5.34,1.1,8.17,-0.3,0.13,-0.02
7491,-5.33,1.13,8.17,-0.33,0.38,-0.06
7492,-5.4,1.11,8.25,-0.17,0.26,0.04
7493,-5.38,1.07,8.17,-0.14,0.23,0.07
7494,-5.34,1.08,8.11,-0.3,0.23,0.01
7495,-5.36,1.15,8.15,-0.39,0.13,-0.06
7497,-5.39,1.04,8.22,-0.27,0.01,0.1
7498,-5.38,1.05,8.17,-0.02,0.04,0.01
7499,-5.41,1.1,8.15,-0.11,0.1,-0.18
7500,-5.37,1.01,8.13,-0.24,0.07,-0.06
7501,-5.37,1.04,8.14,-0.11,-0.18,-0.09
7502,-5.43,1.1,8.21,-0.2,-0.06,-0.02
7504,-5.39,1.1,8.15,-0.33,0.13,0.19
7505,-5.34,1.09,8.23,-0.33,0.23,0.04
7506,-5.35,1.06,8.12,-0.24,0.13,0.13
7507,-5.33,1.06,8.12,-0.2,0.04,0.1
7508,-5.3,1.08,8.08,-0.2,0.01,-0.02
7509,-5.36,1.08,8.11,-0.08,0.16,-0.12
7510,-5.39,1.08,8.25,-0.11,0.1,-0.09
7511,-5.36,1.07,8.12,-0.08,0.16,-0.06
7513,-5.34,1.1,8.12,-0.11,0.19,-0.09
7514,-5.33,1.12,8.18,-0.36,0.07,-0.12
7515,-5.31,1.13,8.11,-0.39,0.1,-0.09
7516,-5.4,1.07,8.15,-0.24,0.13,-0.06
7517,-5.38,1.06,8.1,-0.02,0.23,-0.09
7518,-5.41,1.12,8.17,-0.14,0.23,0.04
7519,-5.39,1.13,8.11,-0.2,0.04,0.1
7520,-5.32,1.06,8.12,-0.14,0.26,0.01
7522,-5.4,1.11,8.14,-0.08,0.26,0.01
7523,-5.42,1.13,8.15,-0.36,0.29,0.1
7524,-5.42,1.06,8.17,-0.39,0.26,0.1
7525,-5.37,1.09,8.2,-0.24,0.13,-0.06
7526,-5.35,1.05,8.15,-0.27,0.16,-0.12
7527,-5.36,1.06,8.18,-0.33,0.29,-0.12
7528,-5.36,1.07,8.26,-0.36,0.13,-0.02
7530,-5.38,1.05,8.25,-0.39,0.01,-0.12
7531,-5.4,1.05,8.22,-0.14,0.07,-0.02
7532,-5.41,1.1,8.15,-0.11,0.04,0.04
7533,-5.42,1.03,8.14,-0.2,0.1,-0.09
7534,-5.41,1.1,8.16,-0.24,0.32,-0.09
7535,-5.34,1.12,8.14,-0.24,0.38,-0.21
7536,-5.35,1.16,8.14,-0.17,0.1,-0.12
7538,-5.33,1.15,8.14,-0.27,-0.09,0.04
7539,-5.36,1.03,8.23,-0.2,-0.02,-0.06
7540,-5.36,1.1,8.14,-0.2,0.19,-0.02
7541,-5.37,1.11,8.16,-0.08,0.16,0.01
7542,-5.39,1.17,8.2,-0.05,0.19,0.01
7543,-5.37,1.08,8.18,-0.11,0.1,-0.21
7545,-5.33,1.04,8.17,-0.24,0.04,-0.21
7546,-5.31,1.02,8.18,-0.3,0.29,-0.06
7547,-5.38,1.03,8.14,-0.05,0.04,0.04
7548,-5.32,1.12,8.08,-0.17,0.13,-0.02
7549,-5.36,1.1,8.12,-0.27,0.32,-0.18
7550,-5.42,1.09,8.23,-0.27,0.26,-0.18
7551,-5.39,1.07,8.07,-0.3,0.19,-0.18
7553,-5.37,1.03,8.09,-0.42,0.01,0.01
7554,-5.35,1.03,8.17,-0.36,0.01,0.01
7555,-5.38,1.1,8.15,-0.14,0.13,0.1
7556,-5.36,1.08,8.28,0.08,0.19,0.13
7557,-5.36,1.06,8.14,-0.05,0.13,0.01
7558,-5.37,1.09,8.17,-0.08,0.04,-0.12
7559,-5.4,1.1,8.19,-0.24,0.07,-0.12
7560,-5.35,1.07,8.15,-0.24,0.07,0.04
7562,-5.36,1.07,8.11,-0.05,-0.09,-0.06
7563,-5.35,1.08,8.2,0.01,0.07,-0.12
7564,-5.35,1.08,8.09,-0.2,0.01,-0.06
7565,-5.35,1.04,8.16,-0.3,0.1,0.04
7566,-5.37,1.01,8.16,-0.17,0.13,-0.18
7567,-5.41,1.07,8.19,0.01,0.07,-0.02
7568,-5.39,1.03,8.13,0.01,0.13,-0.06
7570,-5.37,1.07,8.11,-0.11,0.16,-0.21
7571,-5.39,1.1,8.13,-0.27,0.01,-0.12
7572,-5.32,1.1,8.1,-0.11,-0.02,0.01
7573,-5.34,1.14,8.11,-0.14,0.01,0.04
7574,-5.33,1.09,8.16,-0.17,0.1,-0.02
7575,-5.33,1.07,8.24,-0.27,0.13,-0.06
7576,-5.35,1.07,8.22,-0.17,-0.12,-0.18
7578,-5.34,1.14,8.18,-0.27,-0.06,-0.18
7579,-5.34,1.05,8.15,-0.14,0.01,-0.06
7580,-5.39,1.05,8.17,-0.11,0.04,-0.21
7581,-5.35,1.07,8.13,0.01,-0.09,-0.15
7582,-5.33,1.13,8.19,0.08,0.01,-0.15
7583,-5.36,1.08,8.21,-0.05,0.35,-0.15
7585,-5.4,1.1,8.12,-0.17,0.07,-0.18
7586,-5.35,1.08,8.11,-0.02,-0.15,-0.09
7587,-5.38,1.07,8.08,0.01,0.13,0.04
7588,-5.33,1.06,8.15,-0.05,0.16,0.04
7589,-5.33,1.12,8.23,-0.3,0.1,0.07
7590,-5.34,1.13,8.16,-0.33,0.26,0.16
7591,-5.39,1.13,8.14,-0.14,0.23,-0.18
7593,-5.36,1.12,8.16,-0.11,0.07,-0.24
7594,-5.41,1.14,8.16,-0.2,0.13,-0.28
7595,-5.36,1.09,8.09,-0.27,-0.02,-0.12
7596,-5.34,1.08,8.12,-0.2,0.13,0.04
7597,-5.34,1.1,8.17,0.01,0.23,-0.09
7598,-5.36,1.09,8.13,-0.08,0.19,-0.15
7599,-5.35,1.11,8.16,-0.24,0.13,-0.09
7600,-5.37,1.07,8.17,-0.33,0.19,-0.18
7602,-5.38,1.13,8.15,-0.24,0.13,-0.15
7603,-5.4,1.07,8.15,-0.27,0.01,-0.06
7604,-5.39,1.1,8.09,-0.3,-0.09,-0.12
7605,-5.39,1.08,8.13,-0.27,0.07,-0.21
7606,-5.4,1.03,8.18,-0.11,0.19,-0.24
7607,-5.33,1.1,8.27,-0.11,0.13,-0.12
7609,-5.38,1.05,8.26,-0.14,0.1,0.07
7610,-5.43,1.04,8.16,-0.11,0.16,0.04
7611,-5.41,1.05,8.19,-0.02,0.19,0.01
7612,-5.39,1.01,8.06,-0.14,0.23,0.07
7613,-5.34,1.03,8.16,-0.08,0.16,0.01
7614,-5.33,1.01,8.09,0.01,0.01,0.01
7615,-5.41,1.01,8.13,-0.08,0.26,-0.02
7616,-5.41,1.07,8.21,-0.02,0.04,-0.02
7618,-5.4,1.12,8.14,-0.02,-0.21,-0.02
7619,-5.35,1.08,8.15,-0.14,-0.06,-0.02
7620,-5.36,1.05,8.19,-0.02,-0.12,-0.02
7621,-5.28,1.06,8.18,0.08,0.01,-0.02
7622,-5.36,1.05,8.2,-0.08,-0.02,-0.15
7623,-5.44,1.05,8.11,-0.11,0.07,-0.12
7625,-5.34,1.12,8.13,-0.08,0.07,0.1
7626,-5.28,1.08,8.17,-0.08,0.04,-0.02
7627,-5.4,1.05,8.11,0.01,0.07,-0.06
7628,-5.32,1.07,8.11,-0.14,0.07,-0.09
7629,-5.31,1.03,8.17,-0.05,0.1,-0.09
7630,-5.33,1.09,8.14,-0.08,0.16,-0.02
7631,-5.38,1.15,8.1,-0.14,0.04,0.01
7633,-5.44,1.11,8.11,-0.05,0.04,-0.18
7634,-5.36,1.09,8.11,0.11,0.16,-0.09
7635,-5.4,1.14,8.15,-0.17,0.13,-0.02
7636,-5.36,1.12,8.13,-0.17,0.16,-0.02
7637,-5.37,1.06,8.17,-0.24,0.07,-0.06
7638,-5.33,1.1,8.12,-0.3,0.04,-0.06
7639,-5.39,1.15,8.11,-0.17,-0.06,-0.21
7641,-5.43,1.18,8.19,-0.05,0.04,-0.21
7642,-5.41,1.12,8.16,-0.05,0.16,-0.02
7643,-5.35,1.05,8.14,-0.02,0.13,-0.02
7644,-5.44,1.09,8.1,-0.17,0.04,-0.09
7645,-5.45,1.09,8.11,-0.14,0.13,-0.02
7646,-5.37,1.12,8.22,-0.14,-0.02,0.04
7648,-5.38,1.05,8.15,-0.2,-0.27,0.07
7649,-5.36,1.09,8.13,-0.33,-0.21,0.13
7650,-5.39,1.07,8.11,-0.02,-0.09,-0.09
7651,-5.37,1.11,8.16,-0.02,-0.09,-0.06
7652,-5.4,1.06,8.21,-0.02,0.01,-0.06
7653,-5.42,1.07,8.14,0.08,-0.02,-0.06
7654,-5.42,1.08,8.14,0.17,0.07,-0.15
7656,-5.42,1.1,8.17,0.01,0.23,-0.02
7657,-5.42,1.11,8.1,0.01,-0.02,0.04
7658,-5.36,1.1,8.22,-0.08,-0.21,-0.21
7659,-5.34,1.11,8.17,-0.11,-0.15,-0.12
7660,-5.33,1.1,8.17,0.01,-0.02,0.04
7661,-5.37,1.04,8.14,0.26,0.1,-0.09
7662,-5.4,1.09,8.18,0.26,0.01,0.26
7664,-5.32,1.11,8.18,0.45,-0.09,0.26
7665,-5.31,1.07,8.23,0.67,-0.15,0.26
7666,-5.34,0.98,8.24,1.39,-0.12,0.32
7667,-5.31,0.92,8.3,2.02,-0.21,0.32
7668,-5.36,0.95,8.33,2.39,-0.21,0.26
7669,-5.41,0.99,8.19,2.86,-0.21,0.38
7670,-5.43,0.94,8.29,3.24,-0.62,0.51
7671,-5.45,0.96,8.21,3.02,-0.59,0.48
7673,-5.4,1.12,8.18,2.71,-0.74,0.44
7674,-5.34,1.16,8.17,2.36,-0.74,0.29
7675,-5.36,1.16,8.15,1.86,-0.65,0.13
7676,-5.37,1.1,8.17,1.45,-0.4,0.26
7677,-5.32,1.12,8.11,1.08,-0.18,0.38
7678,-5.29,1.07,8.13,0.95,-0.15,0.13
7679,-5.35,1.12,8.04,0.8,0.04,0.01
7680,-5.35,1.09,7.99,0.36,0.1,0.04
7682,-5.34,1.11,8.11,0.14,0.13,0.1
7683,-5.35,1.1,8.13,0.26,0.1,0.1
7684,-5.37,1.11,8.15,0.33,-0.12,0.1
7685,-5.34,1.07,8.2,0.36,-0.18,0.04
7686,-5.38,1.11,8.13,0.36,-0.12,-0.06
7687,-5.33,1.08,8.15,0.51,0.01,-0.28
7688,-5.38,1.1,8.14,0.3,-0.09,-0.15
7690,-5.42,1.13,8.14,0.23,-0.21,-0.02
7691,-5.42,1.15,8.2,0.2,-0.06,-0.06
7692,-5.41,1.11,8.13,0.14,-0.02,0.01
7693,-5.4,1.07,8.13,-0.02,0.04,-0.02
7694,-5.35,1.15,8.14,0.01,0.13,0.07
7695,-5.35,1.09,8.1,-0.14,-0.02,0.16
7696,-5.34,1.07,8.13,-0.33,0.13,0.04
7698,-5.32,1.1,8.13,-0.27,0.26,-0.02
7699,-5.28,1.06,8.11,-0.11,0.1,-0.06
7700,-5.4,1.08,8.08,-0.24,-0.06,0.07
7701,-5.4,1.08,8.1,-0.17,-0.06,-0.02
7702,-5.37,1.07,8.15,-0.2,-0.15,-0.12
7703,-5.33,1.1,8.17,-0.08,0.07,-0.12
7704,-5.4,1.12,8.17,-0.27,0.13,0.16
7706,-5.39,1.07,8.13,-0.14,-0.06,0.07
7707,-5.3,1.06,8.14,0.11,0.07,0.01
7708,-5.27,1.04,8.18,0.17,0.16,0.01
7709,-5.4,1.02,8.09,0.2,0.04,-0.12
7710,-5.42,1.02,8.05,0.14,0.07,-0.06
7711,-5.39,1.04,8.09,-0.05,-0.02,0.04
7712,-5.35,1.1,8.14,-0.14,-0.09,0.07
7713,-5.31,1.07,8.13,-0.08,-0.06,-0.06
7715,-5.35,1.09,8.15,-0.05,0.07,-0.18
7716,-5.34,1.07,8.16,-0.02,0.35,-0.06
7717,-5.34,1.1,8.06,-0.27,0.16,0.04
7718,-5.38,1.1,8.08,-0.2,-0.12,-0.06
7719,-5.33,1.09,8.12,0.05,0.07,-0.06
7720,-5.32,1.1,8.08,0.2,0.32,0.01
7721,-5.38,1.1,8.05,0.05,0.16,0.13
7723,-5.35,1.05,8.13,-0.11,0.01,0.1
7724,-5.33,1.05,8.19,0.05,-0.06,-0.02
7725,-5.33,1.07,8.17,-0.11,-0.12,-0.06
7726,-5.38,1.11,8.16,-0.42,0.01,-0.09
7727,-5.36,1.1,8.15,-0.36,0.29,0.13
7728,-5.39,1.08,8.1,-0.27,0.16,0.01
7729,-5.37,1.01,8.09,-0.33,0.07,-0.09
7731,-5.45,1.02,8.17,-0.3,0.13,-0.09
7732,-5.38,1.05,8.09,-0.2,-0.02,-0.02
7733,-5.41,1.05,8.17,-0.2,0.01,0.07
7734,-5.45,1.07,8.13,-0.2,0.07,0.07
7735,-5.42,1.04,8.08,-0.02,0.04,-0.02
7736,-5.41,1.03,8.12,0.11,0.1,-0.06
7738,-5.41,1.02,8.17,0.08,0.1,-0.12
7739,-5.4,1.01,8.17,-0.11,0.1,-0.18
7740,-5.39,1.07,8.13,-0.11,0.1,-0.09
7741,-5.4,1.11,8.2,0.14,0.1,-0.06
7742,-5.42,1.12,8.17,0.01,0.32,0.01
7743,-5.42,1.14,8.21,-0.3,0.32,0.04
7744,-5.39,1.15,8.23,-0.36,0.01,0.01
7745,-5.35,1.13,8.1,-0.3,-0.24,-0.12
7747,-5.37,1.08,8.15,-0.17,-0.15,-0.15
7748,-5.37,1.09,8.22,-0.05,0.1,-0.15
7749,-5.34,1.14,8.06,0.11,0.01,0.23
7750,-5.34,1.11,8.09,0.2,-0.06,0.13
7751,-5.36,1.13,8.07,0.17,-0.06,-0.06
7752,-5.37,1.16,8.11,0.14,-0.09,0.01
7753,-5.44,1.14,8.1,0.01,-0.06,0.16
7755,-5.39,1.08,8.1,-0.08,0.1,0.01
7756,-5.38,1.12,8.12,-0.2,0.07,0.01
7757,-5.36,1.11,8.16,-0.14,0.04,0.1
7758,-5.36,1.05,8.12,-0.33,0.01,0.01
7759,-5.36,1.04,8.16,-0.33,0.01,-0.12
7760,-5.37,1.04,8.11,-0.17,-0.09,0.07
7761,-5.32,1.04,8.11,-0.02,-0.09,-0.02
7763,-5.39,1.08,8.08,-0.02,0.07,0.04
7764,-5.38,1.02,8.08,-0.05,0.01,-0.02
7765,-5.35,1.06,8.18,-0.08,0.1,-0.12
7766,-5.32,1.05,8.29,-0.02,0.1,0.07
7767,-5.38,1.08,8.19,-0.02,0.01,-0.18
7768,-5.36,1.09,8.17,-0.05,-0.02,-0.18
7769,-5.35,1.06,8.14,-0.02,-0.02,-0.12
7771,-5.36,1.06,8.13,0.14,0.01,-0.06
7772,-5.38,1.07,8.18,-0.08,-0.09,-0.02
7773,-5.31,1.09,8.09,-0.05,-0.21,0.01
7774,-5.34,1.07,8.14,0.11,0.07,-0.06
7775,-5.35,1.08,8.14,-0.05,0.23,-0.09
7776,-5.38,1.07,8.09,-0.02,0.1,-0.06
7778,-5.36,1.0,8.06,-0.02,0.13,-0.12
7779,-5.39,1.08,8.16,-0.11,0.01,-0.12
7780,-5.38,1.02,8.1,-0.33,-0.06,-0.18
7781,-5.37,1.1,8.09,0.14,0.19,-0.24
7782,-5.35,1.06,8.17,0.2,0.23,-0.15
7783,-5.37,1.07,8.15,0.08,0.29,-0.06
7784,-5.36,1.11,8.22,-0.11,0.29,-0.21
7786,-5.31,1.1,8.25,-0.2,0.13,-0.21
7787,-5.37,1.07,8.28,0.01,0.23,0.04
7788,-5.4,1.05,8.19,-0.08,0.16,0.01
7789,-5.4,1.06,8.1,-0.24,-0.09,-0.12
7790,-5.36,1.05,8.1,-0.14,-0.02,-0.12
7791,-5.4,1.07,8.09,0.11,0.26,-0.09
7792,-5.37,1.06,8.18,-0.02,0.32,0.07
7794,-5.37,1.03,8.14,-0.02,0.35,-0.02
7795,-5.37,1.04,8.19,0.05,0.16,-0.02
7796,-5.35,1.06,8.13,0.11,0.07,-0.09
7797,-5.37,1.08,8.13,-0.02,0.04,0.01
7798,-5.4,1.08,8.18,0.14,0.01,0.01
7799,-5.33,1.07,8.12,0.08,-0.15,-0.02
7800,-5.37,1.07,8.11,0.23,0.04,-0.02
7802,-5.4,1.08,8.15,-0.05,0.04,-0.06
7803,-5.37,1.1,8.14,-0.17,0.04,0.04
7804,-5.42,1.02,8.14,-0.11,0.13,-0.15
7805,-5.38,1.05,8.11,-0.08,0.1,-0.15
7806,-5.37,1.05,8.09,-0.11,0.07,-0.06
7807,-5.31,1.07,8.15,-0.02,0.04,0.04
7808,-5.39,1.04,8.21,-0.17,-0.09,0.16
7810,-5.42,1.07,8.15,-0.08,0.04,0.23
7811,-5.35,1.11,8.17,-0.14,0.01,-0.02
7812,-5.38,1.07,8.14,-0.2,0.01,-0.02
7813,-5.32,1.09,8.23,-0.14,0.29,-0.09
7814,-5.39,1.07,8.22,-0.14,0.01,-0.06
7815,-5.39,1.07,8.18,-0.27,0.13,-0.15
7816,-5.33,1.06,8.09,-0.14,-0.02,-0.15
7818,-5.31,1.1,8.09,-0.24,0.23,-0.06
