TIME,X,Y,Z,ROT W,ROT X,ROT Y,ROT Z
378807,0.0,0.0,0.0,1.0,0.0,0.0,0.0
381058,0.0,0.0,0.0,1.0,0.0,0.0,0.0
381560,0.0,0.0,0.0,1.0,0.0,0.0,0.0
382061,0.0,0.0,0.0,1.0,0.0,0.0,0.0
382563,0.0,0.0,0.0,1.0,0.0,0.0,0.0
383064,0.0,0.0,0.0,1.0,0.0,0.0,0.0
384679,0.35245180130004883,0.035282377153635025,-0.009554807096719742,0.9938485026359558,0.0,0.0,-0.11074790358543396
385999,-0.07812894880771637,0.3638756573200226,0.04262210428714752,0.9985106587409973,0.0,0.0,-0.05455678328871727
387357,-0.09215012937784195,0.5335225462913513,0.15741635859012604,0.9997437000274658,0.0,0.0,0.022639114409685135
388679,0.06535378098487854,0.8181018233299255,0.286618709564209,0.9986252188682556,0.0,0.0,0.052418164908885956
390037,-0.24784602224826813,1.0220354795455933,0.3326437771320343,0.9959071278572083,-0.031199172139167786,-0.03237316012382507,0.07845540344715118
391373,-0.36460912227630615,1.2660741806030273,0.5162585377693176,0.9969645142555237,0.0,0.0,0.07785729318857193
392657,-0.3792511820793152,1.5268405675888062,0.7371668219566345,0.9932110905647278,0.0,0.0,0.11632590740919113
393963,-0.17591841518878937,1.8211244344711304,0.8963909149169922,0.9905272722244263,0.0,0.0,0.13731630146503448
395282,-0.09821661561727524,2.116610050201416,1.024965763092041,0.9861115217208862,0.0,0.0,0.1660846322774887
396291,0.011590240523219109,2.5020899772644043,1.2260189056396484,0.9690852165222168,0.012771873734891415,-0.1718958467245102,0.1765701025724411
397554,-0.7628662586212158,2.869297981262207,1.328635811805725,0.8751471042633057,-0.18398091197013855,-0.33604106307029724,0.2955873906612396
399083,-2.6486051082611084,3.1194398403167725,0.8701968193054199,0.839092493057251,0.0,0.0,0.5439887642860413
400345,-3.094790458679199,3.6476168632507324,1.0238577127456665,0.7498844265937805,0.0,0.0,0.661568820476532
401614,-3.5772104263305664,3.4601545333862305,1.2653629779815674,0.6290673613548279,0.0,0.0,0.7773507833480835
402814,-3.8820457458496094,3.4384164810180664,1.5034927129745483,0.5837048888206482,0.0,0.0,0.8119658827781677
404085,-4.184065818786621,3.561710834503174,1.7454395294189453,0.544532060623169,0.0,0.0,0.8387400507926941
405181,-4.6438069343566895,4.419960975646973,1.8553026914596558,0.5495384335517883,0.055102866142988205,0.009084256365895271,0.833605945110321
406688,-4.9892730712890625,4.251993179321289,2.1073851585388184,0.39833077788352966,0.0,0.0,0.9172418117523193
407933,-5.267539024353027,3.399723529815674,2.309119701385498,0.1172579824924469,0.0,0.0,0.9931014776229858
409171,-4.958430767059326,2.5891525745391846,2.4038243293762207,-0.02474842220544815,0.10898677259683609,-0.17001250386238098,0.9790852069854736
410386,-4.128630638122559,1.8742289543151855,2.51545786857605,-0.09462346881628036,0.281938374042511,-0.233411505818367,0.9257948398590088
411715,-1.2714569568634033,1.639400839805603,1.534339189529419,-0.12576605379581451,0.35700279474258423,-0.19416514039039612,0.9050244092941284
412949,1.4564697742462158,1.5094043016433716,0.7256726026535034,-0.16727684438228607,0.5099475979804993,-0.2341131865978241,0.8106839060783386
414260,6.281614303588867,2.010491371154785,-1.6790906190872192,-0.1756795346736908,0.5465919971466064,-0.20399029552936554,0.7929801344871521
416873,27.25266456604004,6.033303737640381,-16.6934871673584,0.6071923971176147,0.0,0.0,-0.7945548295974731
418217,28.013038635253906,5.5829291343688965,-16.569902420043945,0.8217356204986572,0.0,0.0,-0.5698689222335815
419440,28.52214241027832,6.3151750564575195,-16.50704002380371,0.9480071067810059,0.0,0.0,-0.3182491958141327
421822,26.169130325317383,8.957720756530762,-17.665035247802734,0.9863206148147583,0.0,0.0,-0.1648382693529129
422984,26.248451232910156,9.215418815612793,-17.55002784729004,0.9807034134864807,-0.04005672037601471,-0.1543320268392563,-0.11315794289112091
424183,26.01805305480957,9.359192848205566,-17.509143829345703,0.9627957940101624,-0.008192691951990128,-0.24169091880321503,-0.1206815093755722
425452,25.52742576599121,9.374353408813477,-17.357654571533203,0.9847775101661682,0.0,0.0,-0.17381973564624786
426596,25.659635543823242,9.660085678100586,-17.167116165161133,0.9724854230880737,-0.0047319428995251656,-0.16963039338588715,-0.15964961051940918
429092,16.315183639526367,12.731616973876953,-19.692392349243164,0.93194580078125,-0.33080607652664185,-0.14372916519641876,0.03778529167175293
430267,14.740641593933105,14.061349868774414,-20.346820831298828,0.9600715041160583,0.0,0.0,0.2797546982765198
432429,11.021697044372559,13.163825035095215,-20.753450393676758,0.8671175241470337,-0.11915004998445511,-0.18220284581184387,0.4480270445346832
436272,-6.203426361083984,0.35197487473487854,-26.348960876464844,0.8168530464172363,0.0,0.0,0.5768457651138306
437470,-6.872031211853027,0.7007213830947876,-26.148080825805664,0.679102897644043,0.0,0.0,0.7340431213378906
438734,-7.646702289581299,0.48588499426841736,-25.891685485839844,0.46936604380607605,0.0,0.0,0.8830037117004395
439914,-7.98854923248291,0.12992605566978455,-25.668460845947266,0.3890312612056732,0.11971532553434372,-0.17082497477531433,0.8973050117492676
